# Campaign: Invincible - Search | Location: United States (2840) | Source: DataForSEO 2026-03-03
keyword,ad_group,match_type,intent,stage,bid_tier,search_volume,cpc_low,cpc_high,competition,comp_index,persona,status
SPED software,SPED/IEP Software,Exact,Commercial,BOFU,High,880,2.51,9.88,LOW,,District SPED Director,Active
IEP software,SPED/IEP Software,Exact,Commercial,BOFU,High,140,,7.34,LOW,22,District SPED Director,Active
special education case management,SPED/IEP Software,Phrase,Commercial,BOFU,Medium,210,,2.18,LOW,5,District SPED Director,Active
special education management software,SPED/IEP Software,Phrase,Commercial,BOFU,High,110,,10.85,LOW,14,District SPED Director,Active
IEP management software,SPED/IEP Software,Phrase,Commercial,BOFU,Medium,70,,8.58,LOW,31,District SPED Director,Active
iep writing software,SPED/IEP Software,Phrase,Commercial,MOFU,Medium,70,,6.06,LOW,27,District SPED Director,Active
iep goal tracking software,SPED/IEP Software,Phrase,Commercial,MOFU,Low,50,,6.96,LOW,8,District SPED Director,Active
Frontline IEP,District Competitor Intercept,Exact,Navigational,BOFU,Medium,14800,2.29,4.47,LOW,1,District SPED Director,Active
Embrace IEP,District Competitor Intercept,Exact,Navigational,BOFU,Medium,14800,,7.17,LOW,1,District SPED Director,Active
SpedTrack,District Competitor Intercept,Exact,Navigational,BOFU,Medium,2400,1.27,2.86,LOW,3,District SPED Director,Active
iep direct frontline,District Competitor Intercept,Exact,Navigational,BOFU,Low,1900,,4.67,LOW,,District SPED Director,Active
frontline education iep,District Competitor Intercept,Phrase,Navigational,BOFU,Low,260,,4.93,LOW,,District SPED Director,Active
Magnus Health,Private School Health,Exact,Navigational,BOFU,Medium,4400,0.46,0.99,LOW,12,Private School Admin,Active
SNAP Health Center,Private School Health,Exact,Navigational,BOFU,Low,1000,,,LOW,,Private School Admin,Active
504 plan and private schools,Private School Health,Phrase,Commercial,MOFU,Medium,170,,6.15,LOW,6,Private School Admin,Active
